id,title,type,price,state,city,areaSqFt,bedrooms,bathrooms,amenities,furnished,availableFrom,listedBy,tags,colorTheme,rating,isVerified,listingType
PROP1000,Green sea.,Bungalow,23825834,Tamil Nadu,Coimbatore,4102,5,2,lift|clubhouse|security|gym|garden|pool,Unfurnished,2025-10-14,Builder,gated-community|corner-plot,#6ab45e,4.7,True,rent
PROP1001,Usually each keep team allow.,Villa,24733522,Karnataka,Mysore,732,5,1,lift|power-backup|security|wifi|pool|clubhouse,Furnished,2025-09-06,Builder,luxury|lake-view|affordable,#1361c4,1.3,False,sale
PROP1002,Billion somebody research perform.,Apartment,17965682,West Bengal,Kolkata,3401,5,4,garden|security|pool|power-backup|parking,Semi,2025-10-08,Owner,corner-plot|family-friendly|near-metro,#b48903,4.3,False,sale
PROP1003,Record another month table.,Villa,40380527,Karnataka,Mysore,1179,3,5,power-backup|garden|clubhouse|gym,Unfurnished,2025-10-05,Owner,corner-plot|near-metro,#6ca2d4,2.0,True,sale
PROP1004,Boy outside science agency view.,Apartment,32592182,West Bengal,Kolkata,2429,2,5,pool|power-backup|clubhouse|parking|lift|security,Furnished,2025-11-04,Agent,family-friendly|gated-community,#5e7d4f,2.6,True,sale
PROP1005,City contain light.,Studio,31754529,Gujarat,Ahmedabad,632,5,4,garden|pool|parking|lift|power-backup,Furnished,2025-09-25,Agent,lake-view|affordable|gated-community,#f4f1d3,3.4,False,rent
PROP1006,Seem image success.,Villa,24139520,West Bengal,Kolkata,4889,1,3,gym|parking|wifi|garden,Furnished,2025-10-14,Agent,affordable|lake-view|near-metro,#413448,1.9,True,sale
PROP1007,Ahead size.,Villa,49829063,Karnataka,Bangalore,2811,5,4,clubhouse|parking|wifi|lift,Furnished,2025-08-04,Builder,family-friendly|lake-view|gated-community,#9c83e5,4.0,True,rent
PROP1008,Someone will seven onto behavior.,Penthouse,4790155,Delhi,New Delhi,3312,4,5,wifi|gym|security|clubhouse|lift|power-backup,Unfurnished,2025-07-06,Agent,sea-view|luxury|family-friendly,#72af38,1.3,True,rent
PROP1009,Bar per might.,Apartment,45675056,Karnataka,Mysore,3743,3,2,wifi|lift|garden|power-backup|security|gym,Unfurnished,2025-07-09,Owner,lake-view|sea-view|luxury|affordable,#09951d,1.2,False,sale
PROP1010,Someone strong.,Studio,42257203,Delhi,New Delhi,3930,4,3,pool|clubhouse|parking|power-backup|wifi,Semi,2025-06-19,Builder,family-friendly|sea-view|corner-plot|luxury,#0cf9cf,3.4,True,sale
PROP1011,Defense sister series.,Bungalow,6617775,Karnataka,Mysore,4352,3,3,lift|wifi|security|clubhouse|power-backup|parking,Unfurnished,2025-07-28,Builder,lake-view|near-metro|family-friendly,#472cbb,3.2,True,sale
PROP1012,Read of article.,Studio,37298804,Maharashtra,Mumbai,828,6,1,security|parking|lift,Unfurnished,2025-07-02,Builder,near-metro|luxury,#c8ad9b,4.7,False,sale
PROP1013,Loss since.,Bungalow,25562284,Karnataka,Mysore,3653,6,3,wifi|parking|clubhouse|lift|security,Unfurnished,2025-11-19,Owner,family-friendly|luxury|lake-view|affordable,#155dad,4.4,True,rent
PROP1014,Church pressure.,Villa,2757495,West Bengal,Siliguri,2738,3,4,garden|security|wifi|power-backup|lift,Unfurnished,2025-11-19,Owner,family-friendly|affordable|luxury|gated-community,#f4f977,2.4,True,sale
PROP1015,From fill political travel.,Penthouse,24910233,Gujarat,Vadodara,3456,5,5,parking|lift|clubhouse|pool|garden|power-backup,Semi,2025-11-17,Owner,corner-plot|luxury|near-metro|sea-view,#60e1ed,4.0,True,rent
PROP1016,Feeling film score three describe.,Penthouse,45761217,Tamil Nadu,Chennai,1798,3,4,pool|wifi|gym|security|power-backup,Semi,2025-07-30,Owner,sea-view|corner-plot|affordable|gated-community,#e54c09,4.4,False,sale
PROP1017,Few career school.,Villa,14191237,Maharashtra,Nagpur,1597,4,5,wifi|parking|garden|pool|lift|clubhouse,Furnished,2025-10-26,Agent,sea-view|affordable|near-metro|family-friendly,#58750b,4.4,True,sale
PROP1018,Buy which shoulder.,Bungalow,41500280,Delhi,New Delhi,4794,5,5,parking|power-backup|garden|lift,Furnished,2025-10-22,Builder,near-metro|luxury|lake-view|corner-plot,#ea6d6f,4.8,True,sale
PROP1019,Level third opportunity.,Penthouse,32447751,Karnataka,Bangalore,4919,6,2,wifi|lift|parking|pool,Semi,2025-10-13,Builder,family-friendly|near-metro,#3ad882,1.1,False,rent
PROP1020,Forward past.,Penthouse,16513327,Karnataka,Mangalore,4970,1,5,gym|parking|pool,Unfurnished,2025-06-21,Agent,sea-view|family-friendly|luxury|gated-community,#fb3701,4.0,False,sale
PROP1021,Sign effort main prevent accept.,Villa,31750312,Karnataka,Mysore,1992,1,4,pool|parking|lift,Unfurnished,2025-11-19,Owner,corner-plot|family-friendly|affordable|near-metro,#8c6eb6,2.9,False,sale
